,dummy_spring,sale_year,title,artist,artist_birth_year 1,artist_alive,Medium,execution_year,height,width,dummy_signed,num_owners,num_exhibits,num_lit,lot_number,house_estimate_lower,house_estimate_upper,sale_price,sold
113,1,2012,UNTITLED #89,41,1954,1,4,1981.0,61.0,121.9,1,3,3,0,33,700000,900000,489999.99999999994,0
114,1,2012,MOUNTAIN STANDARD,136,1937,1,7,2000.0,163.0,183.0,1,1,3,0,55,1200000,1800000,840000.0,0
115,1,2012,UNTITLED (ROMA),45,1928,0,8,1961.0,50.2,60.4,1,4,1,0,2,2000000,3000000,3442500.0,1
116,1,2012,GRRR...,76,1961,1,7,2003.0,182.9,213.4,1,2,1,0,58,450000,650000,866500.0,1
117,1,2012,WOMAN ON A SIGN II,133,1904,0,8,1967.0,142.3,105.4,1,6,7,8,22,3000000,4000000,2882500.0,1
118,1,2012,UNTITLED #91,41,1954,1,4,1981.0,60.9,121.9,1,3,8,0,32,800000,1200000,842500.0,1
119,1,2012,UNTITLED,58,1960,0,7,1981.0,170.2,175.3,1,9,2,4,51,3000000,4000000,2100000.0,0
120,1,2012,TEN-FOOT FLOWERS,93,1928,0,7,1967.0,290.9,290.9,0,4,5,5,12,9000000,12000000,10722500.0,1
121,1,2012,UNTITLED (NEW YORK CITY),45,1928,0,8,1970.0,143.5,177.8,1,5,1,0,29,15000000,20000000,17442500.0,1
122,1,2012,BERKELEY #67,117,1922,0,8,1956.0,102.5,89.5,1,5,1,0,23,3500000,4500000,2450000.0,0
123,1,2012,DURATION,23,1930,1,7,1988.0,101.6,101.6,1,1,2,1,37,1000000,1500000,1650500.0,1
124,1,2012,KINDER FILMEN I,97,1948,1,7,2005.0,280.0,100.0,0,2,2,1,36,250000,350000,386500.0,1
125,1,2012,FLOWER BALL (KINDERGARTEN DAYS),69,1962,1,7,2002.0,100.0,100.0,1,2,1,0,31,500000,700000,662500.0,1
126,1,2012,KHORKOM,116,1904,0,8,1938.0,101.6,132.1,1,10,6,8,21,3000000,4000000,2770500.0,1
127,1,2012,BLACK LIKE ME #1,40,1960,1,8,1992.0,203.2,76.2,1,2,1,0,30,600000,800000,1314500.0,1
128,1,2012,UNTITLED,133,1904,0,8,1951.0,55.9,76.2,1,4,5,0,20,4000000,6000000,2800000.0,0
129,1,2012,PRIMO CALLE/ROCI VENEZUELA,87,1925,0,7,1985.0,206.1,539.8,0,4,2,0,53,2000000,3000000,1400000.0,0
130,1,2012,SOUTH,62,1925,0,8,1989.0,260.0,200.0,0,3,2,2,44,3500000,4500000,2450000.0,0
131,1,2012,AWAKENING,102,1965,1,2,2007.0,213.4,213.4,1,2,1,0,6,1000000,1500000,1650500.0,1
